random,trial_label,num_firms,count
8165,original,2,57
8165,original,3,41
8165,original,4,70
8165,original,5,47
8165,typical_business,0,243
8165,typical_business,1,67
8165,typical_business,2,57
8165,typical_business,3,44
8165,typical_business,4,73
8165,typical_business,5,41
8165,one_percent,0,246
8165,one_percent,1,71
8165,one_percent,2,52
8165,one_percent,3,45
8165,one_percent,4,79
8165,one_percent,5,32
8165,five_percent,0,263
8165,five_percent,1,80
8165,five_percent,2,38
8165,five_percent,3,47
8165,five_percent,4,81
8165,five_percent,5,16
8953,original,0,170
8953,original,1,71
8953,original,2,131
8953,original,3,42
8953,original,4,48
8953,original,5,63
8953,typical_business,0,172
8953,typical_business,1,72
8953,typical_business,2,129
8953,typical_business,3,42
8953,typical_business,4,47
8953,typical_business,5,63
8953,one_percent,0,172
8953,one_percent,1,74
8953,one_percent,2,129
8953,one_percent,3,43
8953,one_percent,4,48
8953,one_percent,5,59
8953,five_percent,0,183
8953,five_percent,1,79
8953,five_percent,2,128
8953,five_percent,3,36
8953,five_percent,4,56
8953,five_percent,5,43
9300,original,0,271
9300,original,1,65
9300,original,2,57
9300,original,3,27
9300,original,4,72
9300,original,5,33
9300,typical_business,0,271
9300,typical_business,1,68
9300,typical_business,2,58
9300,typical_business,3,25
9300,typical_business,4,73
9300,typical_business,5,30
9300,one_percent,0,272
9300,one_percent,1,69
9300,one_percent,2,58
9300,one_percent,3,24
9300,one_percent,4,73
9300,one_percent,5,29
9300,five_percent,0,281
9300,five_percent,1,71
9300,five_percent,2,56
9300,five_percent,3,21
9300,five_percent,4,80
9300,five_percent,5,16
2576,original,0,183
2576,original,1,74
2576,original,2,126
2576,original,3,22
2576,original,4,50
2576,original,5,70
2576,typical_business,0,183
2576,typical_business,1,76
2576,typical_business,2,126
2576,typical_business,3,20
2576,typical_business,4,50
2576,typical_business,5,70
2576,one_percent,0,192
2576,one_percent,1,75
2576,one_percent,2,118
2576,one_percent,3,24
2576,one_percent,4,52
2576,one_percent,5,64
2576,five_percent,0,236
2576,five_percent,1,74
2576,five_percent,2,88
2576,five_percent,3,26
2576,five_percent,4,65
2576,five_percent,5,36
5206,original,0,298
5206,original,1,62
5206,original,2,5
5206,original,3,30
5206,original,4,89
5206,original,5,41
5206,typical_business,0,299
5206,typical_business,1,62
5206,typical_business,2,4
5206,typical_business,3,32
5206,typical_business,4,90
5206,typical_business,5,38
5206,one_percent,0,304
5206,one_percent,1,61
5206,one_percent,2,1
5206,one_percent,3,33
5206,one_percent,4,92
5206,one_percent,5,34
